Difference of "texture_list" between "1.9.0" and "1.10.0.3" (beta of "1.10.0").

Total texture: 2413 (+91, -8)
Added texture "textures/blocks/sweet_berry_bush_stage0" of ["core"].
Added texture "textures/blocks/sweet_berry_bush_stage1" of ["core"].
Added texture "textures/blocks/sweet_berry_bush_stage2" of ["core"].
Added texture "textures/blocks/sweet_berry_bush_stage3" of ["core"].
Added texture "textures/entity/cat/jellie" of ["core"].
Added texture "textures/entity/cat/jellie_tame" of ["core"].
Added texture "textures/entity/illager_beast" of ["core"].
Added texture "textures/entity/llama/decor/trader_llama_decor" of ["core"].
Added texture "textures/entity/shield" of ["core"].
Added texture "textures/entity/villager2/biomes/biome_desert" of ["core"].
Added texture "textures/entity/villager2/biomes/biome_jungle" of ["core"].
Added texture "textures/entity/villager2/biomes/biome_plains" of ["core"].
Added texture "textures/entity/villager2/biomes/biome_savanna" of ["core"].
Added texture "textures/entity/villager2/biomes/biome_snow" of ["core"].
Added texture "textures/entity/villager2/biomes/biome_swamp" of ["core"].
Added texture "textures/entity/villager2/biomes/biome_taiga" of ["core"].
Added texture "textures/entity/villager2/levels/level_diamond" of ["core"].
Added texture "textures/entity/villager2/levels/level_gold" of ["core"].
Added texture "textures/entity/villager2/levels/level_iron" of ["core"].
Added texture "textures/entity/villager2/professions/armorer" of ["core"].
Added texture "textures/entity/villager2/professions/butcher" of ["core"].
Added texture "textures/entity/villager2/professions/cartographer" of ["core"].
Added texture "textures/entity/villager2/professions/cleric" of ["core"].
Added texture "textures/entity/villager2/professions/farmer" of ["core"].
Added texture "textures/entity/villager2/professions/fisherman" of ["core"].
Added texture "textures/entity/villager2/professions/fletcher" of ["core"].
Added texture "textures/entity/villager2/professions/leatherworker" of ["core"].
Added texture "textures/entity/villager2/professions/librarian" of ["core"].
Added texture "textures/entity/villager2/professions/nitwit" of ["core"].
Added texture "textures/entity/villager2/professions/shepherd" of ["core"].
Added texture "textures/entity/villager2/professions/stonemason" of ["core"].
Added texture "textures/entity/villager2/professions/toolsmith" of ["core"].
Added texture "textures/entity/villager2/professions/weaponsmith" of ["core"].
Added texture "textures/entity/villager2/villager" of ["core"].
Added texture "textures/entity/wandering_trader" of ["core"].
Added texture "textures/entity/zombie_villager2/biomes/biome-desert-zombie" of ["core"].
Added texture "textures/entity/zombie_villager2/biomes/biome-jungle-zombie" of ["core"].
Added texture "textures/entity/zombie_villager2/biomes/biome-plains-zombie" of ["core"].
Added texture "textures/entity/zombie_villager2/biomes/biome-savanna-zombie" of ["core"].
Added texture "textures/entity/zombie_villager2/biomes/biome-snow-zombie" of ["core"].
Added texture "textures/entity/zombie_villager2/biomes/biome-swamp-zombie" of ["core"].
Added texture "textures/entity/zombie_villager2/biomes/biome_taiga-zombie" of ["core"].
Added texture "textures/entity/zombie_villager2/professions/armorer" of ["core"].
Added texture "textures/entity/zombie_villager2/professions/butcher" of ["core"].
Added texture "textures/entity/zombie_villager2/professions/cartographer" of ["core"].
Added texture "textures/entity/zombie_villager2/professions/cleric" of ["core"].
Added texture "textures/entity/zombie_villager2/professions/farmer" of ["core"].
Added texture "textures/entity/zombie_villager2/professions/fisherman" of ["core"].
Added texture "textures/entity/zombie_villager2/professions/fletcher" of ["core"].
Added texture "textures/entity/zombie_villager2/professions/leatherworker" of ["core"].
Added texture "textures/entity/zombie_villager2/professions/librarian" of ["core"].
Added texture "textures/entity/zombie_villager2/professions/nitwit" of ["core"].
Added texture "textures/entity/zombie_villager2/professions/shepherd" of ["core"].
Added texture "textures/entity/zombie_villager2/professions/stonemason" of ["core"].
Added texture "textures/entity/zombie_villager2/professions/toolsmith" of ["core"].
Added texture "textures/entity/zombie_villager2/professions/weaponsmith" of ["core"].
Added texture "textures/entity/zombie_villager2/zombie-villager" of ["core"].
Added texture "textures/items/banner_pattern" of ["core"].
Added texture "textures/items/sweet_berries" of ["core"].
Added texture "textures/ui/loom_banner_empty" of ["core"].
Added texture "textures/ui/loom_dye_empty" of ["core"].
Added texture "textures/ui/loom_pattern_item_empty" of ["core"].
Added texture "textures/ui/toolbar_background" of ["core"].
