Difference of "all_files" between "in-20100219" and "in-20100223".
Changed file "net/minecraft/client/a/a/g.class" from "763cf2400016be180cf3f8c7010d716d7cc0ab25" to "dff50f5be9255f48df79c6f7268b126f22725856".
Changed file "net/minecraft/client/a/a/h.class" from "1c5195b4481b3841f3436aa1edc4e5b7cc309f62" to "94a18f8f7fa137f0783c828c831f1f4a00611470".
Changed file "net/minecraft/client/a/a/i.class" from "9ebdd96cb7b50fea85f77c8201dbce15db341cee" to "b42ac8dd5eae9e7e544322794355c6bc0a385fcc".
Changed file "net/minecraft/client/a/a/j.class" from "5b6f2826bd369a7bc5530abd8ed223ac476cbd7e" to "6df2986b269177209b22ac78fb542cd7b0f57e5b".
Changed file "net/minecraft/client/a/a/k.class" from "9e394f0e016e1a746af305e9a64a87050e951770" to "7afe9597796a3c5aaca3f567171922e72cb1cacd".
Changed file "net/minecraft/client/a/a/l.class" from "7a18b08782e57ec16e1adc91edfe1f50f55c7b2e" to "97fb6be0a4c11a2ea1b04ca28847dd53d69a9103".
Added file "net/minecraft/client/a/a/m.class": "5cf816c12c5fe0887ee28e1cef296eba340842e8".
Changed file "net/minecraft/client/a/b.class" from "172e53005874dad5c8758975a3063422e8035036" to "85e424260753c2a779a3176f18e6b046501cdfe6".
Changed file "net/minecraft/client/a/e.class" from "7cedee966e2fb70d34b9c28ab5fc540467b1c153" to "5d6333d8f3626b28ba82837f402b4fe51c5b8f26".
Changed file "net/minecraft/client/a/g.class" from "9e71be5fe198cf8d5f81f26c4ea135f82d88cbdb" to "b6cb6e5e5d4fd4a4dfda8b1319950b6c64118caf".
Changed file "net/minecraft/client/a/h.class" from "528b8586a81f125adf7eebf066c663b0449311c0" to "679b69d30917a51617965eeecf59eb3fb098c51f".
Changed file "net/minecraft/client/a/l.class" from "f2c12285119f968fbf569c39bf88d4f51f58c43c" to "91d597c0b5b44d4106db509637125395bd441748".
Changed file "net/minecraft/client/c/a/e.class" from "30da209c10959308a78b6c00e17117925d9a4d20" to "b5cd86730b44dd2d4f11f168298b08b549b10987".
Changed file "net/minecraft/client/c/a/f.class" from "8b0984a4093d90e4a8e0aca733df212bc3f9b7e1" to "dd4e8cddfa24f2a1592538c85152c135f1f60abf".
Changed file "net/minecraft/client/c/g.class" from "99445d466f9ffc67858aa0e26e2a8898c87652d5" to "192be306fd6f75a0b5c186c93666f1258044e9ca".
Changed file "net/minecraft/client/c/l.class" from "2e45e1fc55681ec2206f8ca60f777e965ef81633" to "40a8205df179b0574bb51b02b7bc61e35a09c888".
Changed file "net/minecraft/client/c/m.class" from "1baca66a5a10cf229c503e6589fc880f03c19d4f" to "45ed044c3643e8e29ab0fdc6c2bbae94b45e7205".
Changed file "net/minecraft/client/d.class" from "81f7e2400139b5c892dbc59a75fe6270b2a68c09" to "364e4c82c98ae71ffa7471ba9a039aba9b95566a".
Changed file "net/minecraft/client/d/b.class" from "24da0d19f2853836529051e4c593bccd071422b4" to "c1be12e56e279d7773ed621cb0a9ef35f4601fc4".
Changed file "net/minecraft/client/d/c.class" from "f8f2b7928aedbc0f036dabddc6db39e54d91e91d" to "0866410bae88f5bf53ce0bc9732b26523d47d8dd".
Changed file "net/minecraft/client/e/c.class" from "2c2ec47895d53410e54f0f52a3ff37a5e07aba46" to "44da4a977484da2dd90c4529c9df05b781865283".
Changed file "net/minecraft/client/f.class" from "17a4fdab1a83c96b34a33ffcb08ce6449cdabde6" to "63b46f8747ff9ab4f7958fdc8cb979f5526ef860".
Changed file "net/minecraft/client/f/a.class" from "5829104930af3a13cee6ee3f01466c787146e292" to "d7f3f83eb40ce81a53812dd1bd982091790438b6".
Changed file "net/minecraft/client/f/b.class" from "67fc6f58471c159be4a91acfa895107bff3f0990" to "687eb020698821c0575ff9d7afff9ecd7a13d16b".
Changed file "net/minecraft/client/f/c.class" from "64a072ab3aa85098fcd08ab845b5fb0b77d99b4c" to "69e8f39645c9c50498296785012e52aec76b6dc3".
Changed file "net/minecraft/client/f/d.class" from "63491e5ce9c66a3aa82344748bc14847a9f86072" to "12de288669f7561c06faf28abf2aac10b71870c2".
Changed file "net/minecraft/client/f/e.class" from "c1e2205317826a42d2f7c3e6a3b39eb4bde8923c" to "880e8d200bc91098d2939c9d5c321fdcd2ddb71e".
Changed file "net/minecraft/client/f/g.class" from "ed332f017e37866d4ac3b0013fcdebdcae378d44" to "b09262875a000c43a04303dcd89a8947eef43a28".
Changed file "net/minecraft/client/f/h.class" from "c5c3dd4d71b1eef54f8747ff89e9f1e350a2d3ea" to "d807ec94bb8a5834d40d8eace350f03cdafc22cf".
Changed file "net/minecraft/client/f/i.class" from "e685975c15d3d3b812f6ad0e15af872a6955c0b3" to "ba7cfe7bc91e48f0f8436fd719cc4bf6f8ef5cf7".
Changed file "net/minecraft/client/f/j.class" from "a6d262be7e581983f4385238d79ba0d2ea61fb75" to "c173b941a341d78864599d364094592c1f82c744".
Changed file "net/minecraft/client/f/k.class" from "c6d154a2fa9c78b7a9fb4b5d79398efcc542b2a3" to "2c558fa74f2ad45a41b0f343f8865747b478e59e".
Changed file "net/minecraft/client/g/a.class" from "e1c3819800bd0299cc3344ccd549643701ffebad" to "2aea51f3ab7439b39472da03cde4497d8d6851ef".
Changed file "terrain.png" from "af7bc053f6ce7df7e7576e30fd67146cfaa44444" to "73d1ef4441725bdcc9ac3616205faa3dff46e12a".
